freq,ang,val
4.0,108.0,0.0
4.15,108.0,0.0
4.3,108.0,0.0
4.46,108.0,0.0
4.63,108.0,0.0
4.8,108.0,0.0
4.98,108.0,0.0
5.16,108.0,0.0
5.36,108.0,0.0
5.55,108.0,0.0
5.76,108.0,0.0
5.98,108.0,0.0
6.2,108.0,0.0
6.43,108.0,0.0
6.67,108.0,0.0
6.91,108.0,0.0
7.17,108.0,0.0
7.44,108.0,0.0
7.71,108.0,0.0
8.0,108.0,0.0
4.0,112.0,0.0
4.15,112.0,0.0
4.3,112.0,0.0
4.46,112.0,0.0
4.63,112.0,0.0
4.8,112.0,0.0
4.98,112.0,0.0
5.16,112.0,0.0
5.36,112.0,0.0
5.55,112.0,0.0
5.76,112.0,0.0
5.98,112.0,0.0
6.2,112.0,0.0
6.43,112.0,0.0
6.67,112.0,0.0
6.91,112.0,0.0
7.17,112.0,0.0
7.44,112.0,0.0
7.71,112.0,0.0
8.0,112.0,0.0
4.0,116.0,0.0
4.15,116.0,0.0
4.3,116.0,0.0
4.46,116.0,0.0
4.63,116.0,0.0
4.8,116.0,0.0
4.98,116.0,0.0
5.16,116.0,0.0
5.36,116.0,0.0
5.55,116.0,0.0
5.76,116.0,0.0
5.98,116.0,0.0
6.2,116.0,0.0
6.43,116.0,0.0
6.67,116.0,0.0
6.91,116.0,0.0
7.17,116.0,0.0
7.44,116.0,0.0
7.71,116.0,0.0
8.0,116.0,0.0
4.0,120.0,0.0
4.15,120.0,0.0
4.3,120.0,0.0
4.46,120.0,0.0
4.63,120.0,0.0
4.8,120.0,0.0
4.98,120.0,0.0
5.16,120.0,0.0
5.36,120.0,0.0
5.55,120.0,0.0
5.76,120.0,0.0
5.98,120.0,0.0
6.2,120.0,0.0
6.43,120.0,0.0
6.67,120.0,0.0
6.91,120.0,0.0
7.17,120.0,0.0
7.44,120.0,0.0
7.71,120.0,0.0
8.0,120.0,0.0
4.0,124.0,0.0
4.15,124.0,0.0
4.3,124.0,0.0
4.46,124.0,0.0
4.63,124.0,0.0
4.8,124.0,0.0
4.98,124.0,0.0
5.16,124.0,0.0
5.36,124.0,0.0
5.55,124.0,0.0
5.76,124.0,0.0
5.98,124.0,0.0
6.2,124.0,0.0
6.43,124.0,0.0
6.67,124.0,0.0
6.91,124.0,0.0
7.17,124.0,0.0
7.44,124.0,0.0
7.71,124.0,0.0
8.0,124.0,0.0
4.0,128.0,0.0
4.15,128.0,0.0
4.3,128.0,0.0
4.46,128.0,0.0
4.63,128.0,0.0
4.8,128.0,0.0
4.98,128.0,0.0
5.16,128.0,0.0
5.36,128.0,0.0
5.55,128.0,0.0
5.76,128.0,0.0
5.98,128.0,0.0
6.2,128.0,0.0
6.43,128.0,0.0
6.67,128.0,0.0
6.91,128.0,0.0
7.17,128.0,0.0
7.44,128.0,0.0
7.71,128.0,0.0
8.0,128.0,0.0
4.0,130.0,0.0
4.15,130.0,0.0
4.3,130.0,0.0
4.46,130.0,0.0
4.63,130.0,0.0
4.8,130.0,0.0
4.98,130.0,0.0
5.16,130.0,0.0
5.36,130.0,0.0
5.55,130.0,0.0
5.76,130.0,0.0
5.98,130.0,0.0
6.2,130.0,0.0
6.43,130.0,0.0
6.67,130.0,0.0
6.91,130.0,0.0
7.17,130.0,0.0
7.44,130.0,0.0
7.71,130.0,0.0
8.0,130.0,0.0
4.0,132.0,0.0
4.15,132.0,0.0
4.3,132.0,0.0
4.46,132.0,0.0
4.63,132.0,0.0
4.8,132.0,0.0
4.98,132.0,0.0
5.16,132.0,0.0
5.36,132.0,0.0
5.55,132.0,0.0
5.76,132.0,0.0
5.98,132.0,0.0
6.2,132.0,0.0
6.43,132.0,0.0
6.67,132.0,0.0
6.91,132.0,0.0
7.17,132.0,0.0
7.44,132.0,0.0
7.71,132.0,0.0
8.0,132.0,0.0
4.0,136.0,0.0
4.15,136.0,0.0
4.3,136.0,0.0
4.46,136.0,0.0
4.63,136.0,0.0
4.8,136.0,0.0
4.98,136.0,0.0
5.16,136.0,0.0
5.36,136.0,0.0
5.55,136.0,0.0
5.76,136.0,0.0
5.98,136.0,0.0
6.2,136.0,0.0
6.43,136.0,0.0
6.67,136.0,0.0
6.91,136.0,0.0
7.17,136.0,0.0
7.44,136.0,0.0
7.71,136.0,0.0
8.0,136.0,0.0
4.0,140.0,0.0
4.15,140.0,0.0
4.3,140.0,0.0
4.46,140.0,0.0
4.63,140.0,0.0
4.8,140.0,0.0
4.98,140.0,0.0
5.16,140.0,0.0
5.36,140.0,0.0
5.55,140.0,0.0
5.76,140.0,0.0
5.98,140.0,0.0
6.2,140.0,0.0
6.43,140.0,0.0
6.67,140.0,0.0
6.91,140.0,0.0
7.17,140.0,0.0
7.44,140.0,0.0
7.71,140.0,0.0
8.0,140.0,0.0
4.0,144.0,0.0
4.15,144.0,0.0
4.3,144.0,0.0
4.46,144.0,0.0
4.63,144.0,0.0
4.8,144.0,0.0
4.98,144.0,0.0
5.16,144.0,0.0
5.36,144.0,0.0
5.55,144.0,0.0
5.76,144.0,0.0
5.98,144.0,0.0
6.2,144.0,0.0
6.43,144.0,0.0
6.67,144.0,0.0
6.91,144.0,0.0
7.17,144.0,0.0
7.44,144.0,0.0
7.71,144.0,0.0
8.0,144.0,0.0
4.0,148.0,0.0
4.15,148.0,0.0
4.3,148.0,0.0
4.46,148.0,0.0
4.63,148.0,0.0
4.8,148.0,0.0
4.98,148.0,0.0
5.16,148.0,0.0
5.36,148.0,0.0
5.55,148.0,0.0
5.76,148.0,0.0
5.98,148.0,0.0
6.2,148.0,0.0
6.43,148.0,0.0
6.67,148.0,0.0
6.91,148.0,0.0
7.17,148.0,0.0
7.44,148.0,0.0
7.71,148.0,0.0
8.0,148.0,0.0
4.0,152.0,0.0
4.15,152.0,0.0
4.3,152.0,0.0
4.46,152.0,0.0
4.63,152.0,0.0
4.8,152.0,0.0
4.98,152.0,0.0
5.16,152.0,0.0
5.36,152.0,0.0
5.55,152.0,0.0
5.76,152.0,0.0
5.98,152.0,0.0
6.2,152.0,0.0
6.43,152.0,0.0
6.67,152.0,0.0
6.91,152.0,0.0
7.17,152.0,0.0
7.44,152.0,0.0
7.71,152.0,0.0
8.0,152.0,0.0
4.0,156.0,0.0
4.15,156.0,0.0
4.3,156.0,0.0
4.46,156.0,0.0
4.63,156.0,0.0
4.8,156.0,0.0
4.98,156.0,0.0
5.16,156.0,0.0
5.36,156.0,0.0
5.55,156.0,0.0
5.76,156.0,0.0
5.98,156.0,0.0
6.2,156.0,0.0
6.43,156.0,0.0
6.67,156.0,0.0
6.91,156.0,0.0
7.17,156.0,0.0
7.44,156.0,0.0
7.71,156.0,0.0
8.0,156.0,0.0
4.0,160.0,0.0
4.15,160.0,0.0
4.3,160.0,0.0
4.46,160.0,0.0
4.63,160.0,0.0
4.8,160.0,0.0
4.98,160.0,0.0
5.16,160.0,0.0
5.36,160.0,0.0
5.55,160.0,0.0
5.76,160.0,0.0
5.98,160.0,0.0
6.2,160.0,0.0
6.43,160.0,0.0
6.67,160.0,0.0
6.91,160.0,0.0
7.17,160.0,0.0
7.44,160.0,0.0
7.71,160.0,0.0
8.0,160.0,0.0
4.0,164.0,0.0
4.15,164.0,0.0
4.3,164.0,0.0
4.46,164.0,0.0
4.63,164.0,0.0
4.8,164.0,0.0
4.98,164.0,0.0
5.16,164.0,0.0
5.36,164.0,0.0
5.55,164.0,0.0
5.76,164.0,0.0
5.98,164.0,0.0
6.2,164.0,0.0
6.43,164.0,0.0
6.67,164.0,0.0
6.91,164.0,0.0
7.17,164.0,0.0
7.44,164.0,0.0
7.71,164.0,0.0
8.0,164.0,0.0
4.0,168.0,0.0
4.15,168.0,0.0
4.3,168.0,0.0
4.46,168.0,0.0
4.63,168.0,0.0
4.8,168.0,0.0
4.98,168.0,0.0
5.16,168.0,0.0
5.36,168.0,0.0
5.55,168.0,0.0
5.76,168.0,0.0
5.98,168.0,0.0
6.2,168.0,0.0
6.43,168.0,0.0
6.67,168.0,0.0
6.91,168.0,0.0
7.17,168.0,0.0
7.44,168.0,0.0
7.71,168.0,0.0
8.0,168.0,0.0
4.0,172.0,0.0
4.15,172.0,0.0
4.3,172.0,0.0
4.46,172.0,0.0
4.63,172.0,0.0
4.8,172.0,0.0
4.98,172.0,0.0
5.16,172.0,0.0
5.36,172.0,0.0
5.55,172.0,0.0
5.76,172.0,0.0
5.98,172.0,0.0
6.2,172.0,0.0
6.43,172.0,0.0
6.67,172.0,0.0
6.91,172.0,0.0
7.17,172.0,0.0
7.44,172.0,0.0
7.71,172.0,0.0
8.0,172.0,0.0
4.0,176.0,0.0
4.15,176.0,0.0
4.3,176.0,0.0
4.46,176.0,0.0
4.63,176.0,0.0
4.8,176.0,0.0
4.98,176.0,0.0
5.16,176.0,0.0
5.36,176.0,0.0
5.55,176.0,0.0
5.76,176.0,0.0
5.98,176.0,0.0
6.2,176.0,0.0
6.43,176.0,0.0
6.67,176.0,0.0
6.91,176.0,0.0
7.17,176.0,0.0
7.44,176.0,0.0
7.71,176.0,0.0
8.0,176.0,0.0
4.0,180.0,0.0
4.15,180.0,0.0
4.3,180.0,0.0
4.46,180.0,0.0
4.63,180.0,0.0
4.8,180.0,0.0
4.98,180.0,0.0
5.16,180.0,0.0
5.36,180.0,0.0
5.55,180.0,0.0
5.76,180.0,0.0
5.98,180.0,0.0
6.2,180.0,0.0
6.43,180.0,0.0
6.67,180.0,0.0
6.91,180.0,0.0
7.17,180.0,0.0
7.44,180.0,0.0
7.71,180.0,0.0
8.0,180.0,0.0
